99.85%,942.8MiB / 5GiB,2024-03-08 00:06:32
100.01%,916.3MiB / 5GiB,2024-03-08 00:06:39
99.62%,920.3MiB / 5GiB,2024-03-08 00:06:46
101.48%,927.1MiB / 5GiB,2024-03-08 00:06:53
100.22%,933.8MiB / 5GiB,2024-03-08 00:07:00
100.17%,940MiB / 5GiB,2024-03-08 00:07:08
100.50%,947MiB / 5GiB,2024-03-08 00:07:15
100.04%,953.1MiB / 5GiB,2024-03-08 00:07:22
102.16%,959.6MiB / 5GiB,2024-03-08 00:07:29
99.92%,965.8MiB / 5GiB,2024-03-08 00:07:36
100.41%,972.3MiB / 5GiB,2024-03-08 00:07:43
99.66%,978.2MiB / 5GiB,2024-03-08 00:07:50
100.68%,985.7MiB / 5GiB,2024-03-08 00:07:57
100.51%,991.6MiB / 5GiB,2024-03-08 00:08:04
100.12%,997.8MiB / 5GiB,2024-03-08 00:08:11
100.71%,1004MiB / 5GiB,2024-03-08 00:08:18
100.46%,1010MiB / 5GiB,2024-03-08 00:08:25
99.83%,1017MiB / 5GiB,2024-03-08 00:08:32
0.05%,430.8MiB / 5GiB,2024-03-08 00:08:39
21.26%,522MiB / 5GiB,2024-03-08 00:08:46
99.46%,392.1MiB / 5GiB,2024-03-08 00:08:53
0.02%,411.7MiB / 5GiB,2024-03-08 00:09:00
94.82%,507MiB / 5GiB,2024-03-08 00:09:07
99.29%,555MiB / 5GiB,2024-03-08 00:09:15
103.17%,556.4MiB / 5GiB,2024-03-08 00:09:22
99.82%,661.2MiB / 5GiB,2024-03-08 00:09:29
99.85%,681.6MiB / 5GiB,2024-03-08 00:09:36
101.76%,746MiB / 5GiB,2024-03-08 00:09:43
103.14%,765.9MiB / 5GiB,2024-03-08 00:09:50
99.98%,758.1MiB / 5GiB,2024-03-08 00:09:57
96.80%,779MiB / 5GiB,2024-03-08 00:10:04
99.80%,946.6MiB / 5GiB,2024-03-08 00:10:11
99.12%,948.2MiB / 5GiB,2024-03-08 00:10:18
95.33%,971.1MiB / 5GiB,2024-03-08 00:10:25
100.65%,932.7MiB / 5GiB,2024-03-08 00:10:32
101.39%,904.2MiB / 5GiB,2024-03-08 00:10:39
99.74%,904.8MiB / 5GiB,2024-03-08 00:10:46
100.87%,907.7MiB / 5GiB,2024-03-08 00:10:53
100.21%,914.3MiB / 5GiB,2024-03-08 00:11:00
99.62%,920.9MiB / 5GiB,2024-03-08 00:11:07
99.73%,927.3MiB / 5GiB,2024-03-08 00:11:14
99.44%,934.5MiB / 5GiB,2024-03-08 00:11:21
98.92%,940.4MiB / 5GiB,2024-03-08 00:11:29
101.85%,947.1MiB / 5GiB,2024-03-08 00:11:36
98.98%,953.3MiB / 5GiB,2024-03-08 00:11:43
100.27%,959.2MiB / 5GiB,2024-03-08 00:11:50
99.89%,966MiB / 5GiB,2024-03-08 00:11:57
101.32%,971.9MiB / 5GiB,2024-03-08 00:12:04
99.84%,979.1MiB / 5GiB,2024-03-08 00:12:11
100.50%,985.1MiB / 5GiB,2024-03-08 00:12:18
99.29%,991.2MiB / 5GiB,2024-03-08 00:12:25
100.97%,997.5MiB / 5GiB,2024-03-08 00:12:32
99.71%,1004MiB / 5GiB,2024-03-08 00:12:39
100.54%,1010MiB / 5GiB,2024-03-08 00:12:46
101.24%,937.7MiB / 5GiB,2024-03-08 00:12:53
22.15%,368.5MiB / 5GiB,2024-03-08 00:13:00
22.12%,331.9MiB / 5GiB,2024-03-08 00:13:07
0.02%,370.1MiB / 5GiB,2024-03-08 00:13:14
99.14%,399.9MiB / 5GiB,2024-03-08 00:13:22
98.52%,448.6MiB / 5GiB,2024-03-08 00:13:29
99.21%,477.6MiB / 5GiB,2024-03-08 00:13:36
99.31%,469.5MiB / 5GiB,2024-03-08 00:13:43
104.17%,706.4MiB / 5GiB,2024-03-08 00:13:50
99.36%,705.1MiB / 5GiB,2024-03-08 00:13:57
99.31%,732.7MiB / 5GiB,2024-03-08 00:14:04
99.41%,723.9MiB / 5GiB,2024-03-08 00:14:11
97.81%,721.3MiB / 5GiB,2024-03-08 00:14:18
98.92%,757.1MiB / 5GiB,2024-03-08 00:14:25
98.82%,777.6MiB / 5GiB,2024-03-08 00:14:32
98.63%,769.3MiB / 5GiB,2024-03-08 00:14:39
98.81%,810.3MiB / 5GiB,2024-03-08 00:14:46
99.48%,804MiB / 5GiB,2024-03-08 00:14:53
100.33%,741.8MiB / 5GiB,2024-03-08 00:15:00
99.77%,742.5MiB / 5GiB,2024-03-08 00:15:07
100.14%,742.4MiB / 5GiB,2024-03-08 00:15:14
99.34%,742.5MiB / 5GiB,2024-03-08 00:15:22
99.51%,743.2MiB / 5GiB,2024-03-08 00:15:29
99.10%,743.1MiB / 5GiB,2024-03-08 00:15:36
101.42%,743.4MiB / 5GiB,2024-03-08 00:15:43
101.01%,743.7MiB / 5GiB,2024-03-08 00:15:50
100.98%,743.9MiB / 5GiB,2024-03-08 00:15:57
99.25%,744.1MiB / 5GiB,2024-03-08 00:16:04
101.07%,744.6MiB / 5GiB,2024-03-08 00:16:11
