95.59%,908.6MiB / 5GiB,2024-03-08 05:52:30
100.71%,936.8MiB / 5GiB,2024-03-08 05:52:37
99.70%,893.2MiB / 5GiB,2024-03-08 05:52:44
102.19%,895.1MiB / 5GiB,2024-03-08 05:52:51
99.84%,835.3MiB / 5GiB,2024-03-08 05:52:58
101.05%,837.1MiB / 5GiB,2024-03-08 05:53:05
100.30%,788.2MiB / 5GiB,2024-03-08 05:53:12
99.44%,790.1MiB / 5GiB,2024-03-08 05:53:19
98.70%,792.5MiB / 5GiB,2024-03-08 05:53:27
100.57%,794.9MiB / 5GiB,2024-03-08 05:53:34
99.38%,796.4MiB / 5GiB,2024-03-08 05:53:41
100.41%,798.4MiB / 5GiB,2024-03-08 05:53:48
99.37%,799.9MiB / 5GiB,2024-03-08 05:53:55
94.45%,627.3MiB / 5GiB,2024-03-08 05:54:02
95.33%,608.7MiB / 5GiB,2024-03-08 05:54:09
92.97%,609.2MiB / 5GiB,2024-03-08 05:54:16
90.93%,608.8MiB / 5GiB,2024-03-08 05:54:23
88.69%,608.6MiB / 5GiB,2024-03-08 05:54:30
89.92%,608.8MiB / 5GiB,2024-03-08 05:54:37
92.90%,608.8MiB / 5GiB,2024-03-08 05:54:44
87.60%,608.7MiB / 5GiB,2024-03-08 05:54:51
88.17%,608.9MiB / 5GiB,2024-03-08 05:54:58
87.52%,608.9MiB / 5GiB,2024-03-08 05:55:05
96.13%,608.8MiB / 5GiB,2024-03-08 05:55:12
91.79%,608.9MiB / 5GiB,2024-03-08 05:55:19
91.54%,608.7MiB / 5GiB,2024-03-08 05:55:27
90.85%,608.9MiB / 5GiB,2024-03-08 05:55:34
91.07%,608.7MiB / 5GiB,2024-03-08 05:55:41
91.19%,608.6MiB / 5GiB,2024-03-08 05:55:48
90.02%,608.8MiB / 5GiB,2024-03-08 05:55:55
93.07%,608.8MiB / 5GiB,2024-03-08 05:56:02
91.32%,608.8MiB / 5GiB,2024-03-08 05:56:09
91.34%,609MiB / 5GiB,2024-03-08 05:56:16
90.23%,609MiB / 5GiB,2024-03-08 05:56:23
90.77%,608.9MiB / 5GiB,2024-03-08 05:56:30
89.63%,608.8MiB / 5GiB,2024-03-08 05:56:37
92.12%,608.9MiB / 5GiB,2024-03-08 05:56:44
89.75%,609.1MiB / 5GiB,2024-03-08 05:56:51
94.70%,608.9MiB / 5GiB,2024-03-08 05:56:58
91.52%,609MiB / 5GiB,2024-03-08 05:57:05
95.59%,609MiB / 5GiB,2024-03-08 05:57:12
94.28%,608.9MiB / 5GiB,2024-03-08 05:57:19
92.47%,609.1MiB / 5GiB,2024-03-08 05:57:26
93.75%,609MiB / 5GiB,2024-03-08 05:57:33
95.62%,608.8MiB / 5GiB,2024-03-08 05:57:40
91.04%,609.2MiB / 5GiB,2024-03-08 05:57:48
91.00%,609MiB / 5GiB,2024-03-08 05:57:55
89.65%,609.2MiB / 5GiB,2024-03-08 05:58:02
88.93%,608.9MiB / 5GiB,2024-03-08 05:58:09
85.16%,609.5MiB / 5GiB,2024-03-08 05:58:16
93.48%,609.7MiB / 5GiB,2024-03-08 05:58:23
