ef_construct,m,ef,k,qps,recall,time_span_insert,time_span_search
128, 8, 128, 100, 443.13876718306096, 1.0, 0.296144962310791, 0.2256629467010498
128, 8, 256, 1, 549.5285324039803, 1.0, 0.29435014724731445, 0.18197417259216309
128, 8, 256, 10, 530.7458501314748, 1.0, 0.29435014724731445, 0.1884140968322754
128, 8, 256, 100, 421.62241493524834, 1.0, 0.29435014724731445, 0.23717904090881348
128, 8, 512, 1, 516.2201247256933, 1.0, 0.2933931350708008, 0.19371581077575684
128, 8, 512, 10, 467.5038175596598, 1.0, 0.2933931350708008, 0.21390199661254883
128, 8, 512, 100, 456.3644296565329, 1.0, 0.2933931350708008, 0.21912312507629395
128, 16, 64, 1, 565.0675094912067, 1.0, 0.3406052589416504, 0.1769700050354004
128, 16, 64, 10, 541.1104474223, 1.0, 0.3406052589416504, 0.18480515480041504
128, 16, 64, 100, 453.08951380126865, 1.0, 0.3406052589416504, 0.22070693969726562
128, 16, 128, 1, 593.3804815455635, 1.0, 0.3406238555908203, 0.16852593421936035
128, 16, 128, 10, 566.9870889337387, 1.0, 0.3406238555908203, 0.17637085914611816
128, 16, 128, 100, 456.10438530958805, 1.0, 0.3406238555908203, 0.21924805641174316
128, 16, 256, 1, 541.0462306877652, 1.0, 0.3008596897125244, 0.18482708930969238
128, 16, 256, 10, 552.7279244422715, 1.0, 0.3008596897125244, 0.18092083930969238
128, 16, 256, 100, 426.13780911547764, 1.0, 0.3008596897125244, 0.2346658706665039
128, 16, 512, 1, 546.6087690856109, 1.0, 0.2985849380493164, 0.18294620513916016
128, 16, 512, 10, 583.9518170249853, 1.0, 0.2985849380493164, 0.17124700546264648
128, 16, 512, 100, 405.4818252126837, 1.0, 0.2985849380493164, 0.24662017822265625
128, 32, 64, 1, 575.2051608373196, 1.0, 0.29989123344421387, 0.17385101318359375
128, 32, 64, 10, 529.3786373211394, 1.0, 0.29989123344421387, 0.18890070915222168
128, 32, 64, 100, 367.61312443249346, 1.0, 0.29989123344421387, 0.27202510833740234
128, 32, 128, 1, 423.6923210575176, 1.0, 0.3320639133453369, 0.23602032661437988
128, 32, 128, 10, 430.4000049255372, 1.0, 0.3320639133453369, 0.23234200477600098
128, 32, 128, 100, 415.2081483395353, 1.0, 0.3320639133453369, 0.2408430576324463
128, 32, 256, 1, 569.7559491304855, 1.0, 0.33530330657958984, 0.17551374435424805
128, 32, 256, 10, 537.499054895513, 1.0, 0.33530330657958984, 0.18604683876037598
128, 32, 256, 100, 418.41532442294994, 1.0, 0.33530330657958984, 0.2389969825744629
128, 32, 512, 1, 530.9460636380207, 1.0, 0.3399040699005127, 0.18834304809570312
128, 32, 512, 10, 458.4274476928912, 1.0, 0.3399040699005127, 0.21813702583312988
128, 32, 512, 100, 313.7286346762449, 1.0, 0.3399040699005127, 0.31874680519104004
128, 64, 64, 1, 561.5736848024593, 1.0, 0.3021812438964844, 0.1780710220336914
128, 64, 64, 10, 544.4220899412524, 1.0, 0.3021812438964844, 0.18368101119995117
128, 64, 64, 100, 302.0566304330605, 1.0, 0.3021812438964844, 0.33106374740600586
128, 64, 128, 1, 593.6551161888801, 1.0, 0.33226919174194336, 0.16844797134399414
128, 64, 128, 10, 346.723804989022, 1.0, 0.33226919174194336, 0.28841400146484375
128, 64, 128, 100, 452.1634138558529, 1.0, 0.33226919174194336, 0.2211589813232422
128, 64, 256, 1, 409.4936276318847, 1.0, 0.3462691307067871, 0.24420404434204102
