ef_construct,m,ef,k,qps,recall,time_span_insert,time_span_search,timestamp
64, 64, 64, 100, 333.23989944734177, 0.0194, 2.0845439434051514, 0.30008411407470703, 08_03_24_08:17
64, 64, 128, 1, 631.6447022645095, 0.01, 2.074867010116577, 0.15831685066223145, 08_03_24_08:17
64, 64, 128, 10, 523.267628125156, 0.019, 2.074867010116577, 0.19110679626464844, 08_03_24_08:17
64, 64, 128, 100, 330.4607757938087, 0.0194, 2.074867010116577, 0.30260777473449707, 08_03_24_08:17
64, 64, 256, 1, 641.2230358808151, 0.01, 2.059453010559082, 0.15595197677612305, 08_03_24_08:17
64, 64, 256, 10, 518.745207458308, 0.019, 2.059453010559082, 0.19277286529541016, 08_03_24_08:17
64, 64, 256, 100, 306.7891003407058, 0.0194, 2.059453010559082, 0.3259568214416504, 08_03_24_08:17
64, 64, 512, 1, 625.1375307217774, 0.01, 2.078981876373291, 0.15996479988098145, 08_03_24_08:17
64, 64, 512, 10, 528.5108013024062, 0.019, 2.078981876373291, 0.1892108917236328, 08_03_24_08:17
64, 64, 512, 100, 328.6881481794943, 0.0194, 2.078981876373291, 0.30423974990844727, 08_03_24_08:17
128, 8, 64, 1, 532.4497897140797, 0.01, 2.0612659454345703, 0.18781113624572754, 08_03_24_08:17
128, 8, 64, 10, 471.0382980061498, 0.019, 2.0612659454345703, 0.2122969627380371, 08_03_24_08:17
128, 8, 64, 100, 341.0164056516486, 0.0194, 2.0612659454345703, 0.293241024017334, 08_03_24_08:17
128, 8, 128, 1, 625.1207599868249, 0.01, 2.077540874481201, 0.15996909141540527, 08_03_24_08:17
128, 8, 128, 10, 511.6452459720311, 0.019, 2.077540874481201, 0.1954479217529297, 08_03_24_08:17
128, 8, 128, 100, 319.14826916082416, 0.0194, 2.077540874481201, 0.31333398818969727, 08_03_24_08:17
128, 8, 256, 1, 619.0964268001795, 0.01, 2.090319871902466, 0.16152572631835938, 08_03_24_08:17
128, 8, 256, 10, 613.8125621963355, 0.019, 2.090319871902466, 0.1629161834716797, 08_03_24_08:17
128, 8, 256, 100, 383.49710477928573, 0.0194, 2.090319871902466, 0.2607581615447998, 08_03_24_08:17
128, 8, 512, 1, 635.2984656397207, 0.01, 2.078646183013916, 0.15740633010864258, 08_03_24_08:17
128, 8, 512, 10, 392.8825409433743, 0.019, 2.078646183013916, 0.2545289993286133, 08_03_24_08:17
128, 8, 512, 100, 311.32567322822956, 0.0194, 2.078646183013916, 0.32120704650878906, 08_03_24_08:17
128, 16, 64, 1, 460.35605312259906, 0.01, 2.0901241302490234, 0.2172231674194336, 08_03_24_08:17
128, 16, 64, 10, 450.0649724819273, 0.019, 2.0901241302490234, 0.22219014167785645, 08_03_24_08:17
128, 16, 64, 100, 297.11036134473426, 0.0194, 2.0901241302490234, 0.3365752696990967, 08_03_24_08:17
128, 16, 128, 1, 638.3091663927341, 0.01, 2.0666580200195312, 0.1566638946533203, 08_03_24_08:17
128, 16, 128, 10, 528.7399907218783, 0.019, 2.0666580200195312, 0.18912887573242188, 08_03_24_08:17
128, 16, 128, 100, 247.50267016788126, 0.0194, 2.0666580200195312, 0.4040360450744629, 08_03_24_08:17
128, 16, 256, 1, 633.0661788455908, 0.01, 2.1017842292785645, 0.15796136856079102, 08_03_24_08:17
128, 16, 256, 10, 555.5391610827593, 0.019, 2.1017842292785645, 0.18000531196594238, 08_03_24_08:17
128, 16, 256, 100, 366.47735414489574, 0.0194, 2.1017842292785645, 0.27286815643310547, 08_03_24_08:17
128, 16, 512, 1, 478.9297597760132, 0.01, 2.06882381439209, 0.20879888534545898, 08_03_24_08:18
128, 16, 512, 10, 543.2571826760925, 0.019, 2.06882381439209, 0.18407487869262695, 08_03_24_08:18
128, 16, 512, 100, 357.96892536026866, 0.0194, 2.06882381439209, 0.2793538570404053, 08_03_24_08:18
128, 32, 64, 1, 635.7973114726266, 0.01, 2.1155261993408203, 0.15728282928466797, 08_03_24_08:18
128, 32, 64, 10, 505.182624615329, 0.019, 2.1155261993408203, 0.19794821739196777, 08_03_24_08:18
128, 32, 64, 100, 318.2817370822191, 0.0194, 2.1155261993408203, 0.31418704986572266, 08_03_24_08:18
128, 32, 128, 1, 619.8704780371304, 0.01, 2.0629220008850098, 0.16132402420043945, 08_03_24_08:18
128, 32, 128, 10, 487.51702815166095, 0.019, 2.0629220008850098, 0.20512104034423828, 08_03_24_08:18
128, 32, 128, 100, 362.87897729878074, 0.0194, 2.0629220008850098, 0.2755739688873291, 08_03_24_08:18
128, 32, 256, 1, 657.1600023188515, 0.01, 2.0979807376861572, 0.15216994285583496, 08_03_24_08:18
128, 32, 256, 10, 520.9144279360789, 0.019, 2.0979807376861572, 0.1919701099395752, 08_03_24_08:18
128, 32, 256, 100, 337.10227185962646, 0.0194, 2.0979807376861572, 0.2966458797454834, 08_03_24_08:18
128, 32, 512, 1, 628.4646585424692, 0.01, 2.0638530254364014, 0.1591179370880127, 08_03_24_08:18
128, 32, 512, 10, 529.8802234077899, 0.019, 2.0638530254364014, 0.1887218952178955, 08_03_24_08:18
128, 32, 512, 100, 359.6399059893625, 0.0194, 2.0638530254364014, 0.27805590629577637, 08_03_24_08:18
128, 64, 64, 1, 626.4531045566157, 0.01, 2.08689284324646, 0.15962886810302734, 08_03_24_08:18
128, 64, 64, 10, 484.1249907660486, 0.019, 2.08689284324646, 0.2065582275390625, 08_03_24_08:18
128, 64, 64, 100, 339.17402474319175, 0.0194, 2.08689284324646, 0.2948338985443115, 08_03_24_08:18
128, 64, 128, 1, 641.8323797340123, 0.01, 2.0758872032165527, 0.15580391883850098, 08_03_24_08:18
128, 64, 128, 10, 512.2901643509019, 0.019, 2.0758872032165527, 0.19520187377929688, 08_03_24_08:18
128, 64, 128, 100, 345.5361188413104, 0.0194, 2.0758872032165527, 0.28940534591674805, 08_03_24_08:18
128, 64, 256, 1, 628.3770948130436, 0.01, 2.0941150188446045, 0.15914011001586914, 08_03_24_08:18
128, 64, 256, 10, 402.82630263181903, 0.019, 2.0941150188446045, 0.2482459545135498, 08_03_24_08:18
